Team,YearStart,Size,Special,SpecialAlt,RunningTopTierYears,TotalTopTierYears,Division,Leading Scorer,Special,SpecialAlt,D,L,Position Cleaned,PositionAdjusted,TopTier?,W
Arsenal,1975,,,,50,59,Div 1,Brian Kidd,,,10,19,17,17,1,13
Arsenal,1976,,,,51,60,Div 1,Malcolm Macdonald,,,11,15,8,8,1,16
Arsenal,1977,,,,52,61,Div 1,Malcolm Macdonald,,,10,11,5,5,1,21
Arsenal,1978,,,,53,62,Div 1,Frank Stapleton,,,14,11,7,7,1,17
Arsenal,1979,,,,54,63,Div 1,Alan Sunderland,,,16,8,4,4,1,18
Arsenal,1980,,,,55,64,Div 1,Frank Stapleton,,,15,8,3,3,1,19
Arsenal,1981,,,,56,65,Div 1,Alan Sunderland,,,11,11,4,4,1,20
Arsenal,1982,,,,57,66,Div 1,Tony Woodcock,,,10,16,10,10,1,16
Arsenal,1983,,,,58,67,Div 1,Tony Woodcock,,,9,15,6,6,1,18
Arsenal,1984,,,,59,68,Div 1,Tony Woodcock,,,9,14,7,7,1,19
Arsenal,1985,,,,60,69,Div 1,Charlie Nicholas,,,9,13,7,7,1,20
Arsenal,1986,,,,61,70,Div 1,Martin Hayes,,,10,12,4,4,1,20
Arsenal,1987,,,,62,71,Div 1,Alan Smith,,,12,10,6,6,1,18
Arsenal,1988,,,,63,72,Div 1,Alan Smith,,Champions,10,6,1,1,1,22
Arsenal,1989,,,,64,73,Div 1,Alan Smith,,,8,12,4,4,1,18
Arsenal,1990,,,,65,74,Div 1,Alan Smith,,Champions,13,1,1,1,1,24
Arsenal,1991,,,,66,75,Div 1,Ian Wright,,,15,8,4,4,1,19
Arsenal,1992,,,,67,76,Prem,Ian Wright,,,11,16,10,10,1,15
Arsenal,1993,,,,68,77,Prem,Ian Wright,,,17,7,4,4,1,18
Arsenal,1994,,,,69,78,Prem,Ian Wright,,,12,17,12,12,1,13
Arsenal,1995,,,,70,79,Prem,Ian Wright,,,12,9,5,5,1,17
Arsenal,1996,,,,71,80,Prem,Ian Wright,,,11,8,3,3,1,19
Arsenal,1997,,,,72,81,Prem,Dennis Bergkamp,,Champions,9,6,1,1,1,23
Arsenal,1998,,,,73,82,Prem,Nicolas Anelka,,,12,4,2,2,1,22
Arsenal,1999,,,,74,83,Prem,Thierry Henry,,,7,9,2,2,1,22
Arsenal,2000,,,,75,84,Prem,Thierry Henry,,,10,8,2,2,1,20
Arsenal,2001,,,,76,85,Prem,Thierry Henry,,Champions,9,3,1,1,1,26
Arsenal,2002,,,,77,86,Prem,Thierry Henry,,,9,6,2,2,1,23
Arsenal,2003,,,,78,87,Prem,Thierry Henry,,Champions,12,0,1,1,1,26
Arsenal,2004,,,,79,88,Prem,Thierry Henry,,,8,5,2,2,1,25
Arsenal,2005,,,,80,89,Prem,Thierry Henry,,,7,11,4,4,1,20
Arsenal,2006,,,,81,90,Prem,Robin van Persie,,,11,8,4,4,1,19
Arsenal,2007,,,,82,91,Prem,Emmanuel Adebayor,,,11,3,3,3,1,24
Arsenal,2008,,,,83,92,Prem,Robin van Persie,,,12,6,4,4,1,20
Arsenal,2009,,,,84,93,Prem,Cesc Fàbregas,,,6,9,3,3,1,23
Arsenal,2010,,,,85,94,Prem,Robin van Persie,,,11,8,4,4,1,19
Arsenal,2011,,,,86,95,Prem,Robin van Persie,,,7,10,3,3,1,21
Arsenal,2012,,,,87,96,Prem,Theo Walcott,,,10,7,4,4,1,21
Arsenal,2013,,,,88,97,Prem,Olivier Giroud,,,7,7,4,4,1,24
Arsenal,2014,,,,89,98,Prem,Alexis Sánchez,,,9,7,3,3,1,22
Arsenal,2015,,,,90,99,Prem,Olivier Giroud,,,11,7,2,2,1,20
