,Rank,player,club,age,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,nationality
840,114,Fabian Delph,Manchester City,28,4(1),383,0,0,0,0,0.2,92.7,0.6,0,7.04,England
842,32,Wilfred Ndidi,Leicester,21,33,2899,0,3,6,2,1.2,76.1,3.5,2,7.14,Nigeria
844,33,Nicolas Otamendi,Manchester City,30,33(1),2968,4,0,9,0,0.9,91.9,2.3,5,7.13,Argentina
846,49,Nicolas Otamendi,Manchester City,30,8,720,1,0,2,0,0.6,92.6,3.3,0,7.28,Argentina
848,38,Ashley Young,Manchester United,32,28(2),2448,2,4,7,0,0.6,79.5,0.6,4,7.12,England
850,51,Ashley Young,Manchester United,32,4,337,0,1,1,0,0.5,83.9,0.5,0,7.27,England
852,44,Dele Alli,Tottenham,22,34(2),2972,9,10,7,0,1.9,77.2,0.8,1,7.09,England
854,13,Dele Alli,Tottenham,22,5,427,2,4,1,0,1.6,80.7,0.6,1,7.73,England
856,47,Ruben Loftus-Cheek,Crystal Palace,22,21(3),1875,2,3,1,0,1.3,82.4,1.3,1,7.08,England
858,49,Harry Maguire,Leicester,25,38,3420,2,4,7,0,0.8,78.4,3.1,1,7.08,England
860,53,Kyle Walker,Manchester City,28,32,2787,0,6,2,1,0.4,87.8,2.2,0,7.05,England
862,84,Kyle Walker,Manchester City,28,7,630,0,1,1,0,0.3,87.7,2.1,0,7.1,England
864,54,Gabriel Jesus,Manchester City,21,19(10),1673,13,3,6,0,1.9,79.7,0.7,1,7.05,Brazil
866,195,Gabriel Jesus,Manchester City,21,7(2),618,4,0,2,0,1.2,78.0,0.6,0,6.81,Brazil
868,55,Manuel Lanzini,West Ham,25,23(4),2049,5,6,4,0,1.6,87.6,0.1,2,7.04,Argentina
870,57,Kieran Trippier,Tottenham,27,21(3),1914,0,5,1,0,0.3,81.4,1.5,0,7.04,England
872,60,Johann Berg Gudmundsson,Burnley,27,32(3),2840,2,8,2,0,1.5,73.7,1.2,0,7.02,Iceland
874,63,Trent Alexander-Arnold,Liverpool,19,18(1),1576,1,1,3,0,0.6,77.3,0.3,0,7.02,England
876,102,Trent Alexander-Arnold,Liverpool,19,9(1),821,1,1,2,0,0.8,77.0,0.2,0,7.07,England
878,64,Luka Milivojevic,Crystal Palace,27,35(1),3082,10,1,8,0,1.2,80.2,1.4,1,7.01,Serbia
880,68,Dejan Lovren,Liverpool,28,24(5),2125,2,1,4,0,0.5,88.5,3.6,2,6.99,Croatia
882,132,Dejan Lovren,Liverpool,28,12,1050,0,1,2,0,0.5,84.1,3.1,0,7.0,Croatia
884,70,Ahmed Hegazi,West Bromwich Albion,27,38,3387,2,0,4,0,0.4,73.2,2.7,3,6.98,Egypt
886,71,Jamie Vardy,Leicester,31,37,3258,20,1,3,0,1.9,60.5,2.1,0,6.98,England
888,75,Eric Dier,Tottenham,24,32(2),2827,0,2,4,0,0.9,86.3,2.4,0,6.96,England
890,179,Eric Dier,Tottenham,24,7,614,0,1,1,0,0.4,80.9,1.6,0,6.86,England
892,77,Jordan Henderson,Liverpool,27,25(2),2173,1,1,1,0,0.6,84.4,1,0,6.95,England
894,177,Jordan Henderson,Liverpool,27,9(1),868,0,0,3,0,0.2,82.7,0.8,0,6.86,England
896,78,Davinson Sanchez,Tottenham,21,29(2),2535,0,0,1,1,0.3,89.4,2.4,0,6.94,Colombia
898,236,Davinson Sanchez,Tottenham,21,8,720,0,0,0,0,0.4,89.7,1.3,0,6.74,Colombia
900,83,Nick Pope,Burnley,26,34(1),3114,0,0,3,0,-,39.0,0.3,0,6.93,England
902,87,Antonio Rudiger,Chelsea,25,25(2),2336,2,1,4,0,0.6,89.5,2.2,1,6.92,Germany
904,398,Antonio Rudiger,Chelsea,25,4(2),389,0,0,1,0,0.7,89.4,1.3,0,6.32,Germany
906,93,Victor Moses,Chelsea,27,25(3),2119,3,3,3,0,1.3,76.6,1,1,6.9,Nigeria
908,272,Victor Moses,Chelsea,27,4,337,0,0,0,0,0.8,75.7,0.5,0,6.65,Nigeria
910,94,Mousa Dembele,Tottenham,30,21(7),1886,0,0,6,0,0.4,92.2,0.3,0,6.9,Belgium
912,268,Mousa Dembele,Tottenham,30,3(3),328,0,0,2,0,-,92.7,0.2,0,6.66,Belgium
914,97,Lukasz Fabianski,Swansea,33,38,3420,0,0,0,0,-,53.4,0.4,3,6.89,Poland
916,110,Xherdan Shaqiri,Stoke,26,36,3049,8,7,5,0,1.9,79.5,0.1,2,6.87,Switzerland
918,113,Gary Cahill,Chelsea,32,24(3),2084,0,0,1,1,0.4,89.0,3.4,0,6.87,England
920,319,Gary Cahill,Chelsea,32,5(1),448,0,0,1,0,0.7,92.2,1.7,0,6.54,England
922,114,Aaron Mooy,Huddersfield,27,34(2),3071,4,3,5,0,0.8,79.5,0.9,0,6.86,Australia
924,115,Maya Yoshida,Southampton,29,23(1),2051,2,0,2,1,0.8,84.2,2.8,0,6.86,Japan
926,127,Jesse Lingard,Manchester United,25,20(13),1823,8,5,2,0,1.7,87.8,0.2,1,6.82,England
928,426,Jesse Lingard,Manchester United,25,3(3),246,0,0,2,0,0.7,91.6,0.3,0,6.23,England
930,136,Cheikhou Kouyate,West Ham,28,32(1),2803,2,3,5,0,0.7,76.0,3.7,2,6.8,Senegal
932,138,Andreas Christensen,Chelsea,22,23(4),2071,0,0,0,0,0.4,93.4,2.1,0,6.8,Denmark
934,354,Andreas Christensen,Chelsea,22,5(1),454,0,0,0,0,0.3,94.7,1,0,6.45,Denmark
936,148,Bernardo Silva,Manchester City,23,15(20),1520,6,4,0,0,0.7,87.0,0.1,1,6.79,Portugal
938,67,Bernardo Silva,Manchester City,23,6(3),563,1,2,1,0,1.1,85.7,0.3,0,7.2,Portugal
940,150,Dusan Tadic,Southampton,29,34(2),2813,6,3,4,0,1.1,74.8,0.2,2,6.78,Serbia
942,158,Jack Butland,Stoke,25,35,3150,0,0,0,0,-,46.1,0.2,2,6.76,England
944,162,Mame Biram Diouf,Stoke,30,30(5),2602,6,2,6,0,1.7,57.3,4.1,2,6.76,Senegal
946,164,Marcus Rashford,Manchester United,20,17(18),1810,7,5,3,0,1.7,78.3,0.5,1,6.76,England
948,153,Marcus Rashford,Manchester United,20,3(5),345,3,1,1,0,2.4,75.4,0.4,1,6.94,England
950,171,Hugo Lloris,Tottenham,31,36,3240,0,0,1,0,-,75.2,0.3,1,6.74,France
952,100,Hugo Lloris,Tottenham,31,7,630,0,0,0,0,-,60.2,0.4,0,7.07,France
954,177,Mat Ryan,Brighton,26,38,3420,0,0,0,0,-,48.0,0.3,1,6.74,Australia
956,180,Ilkay Gundogan,Manchester City,27,15(15),1510,4,1,3,0,1.2,91.7,0.1,0,6.73,Germany
958,103,Ilkay Gundogan,Manchester City,27,6(3),503,2,2,2,0,1.4,90.9,0.1,1,7.07,Germany
960,194,Ederson,Manchester City,24,37,3197,0,0,1,0,-,85.3,0.3,1,6.68,Brazil
962,210,Ederson,Manchester City,24,9,810,0,0,1,0,-,86.0,0.1,0,6.79,Brazil
964,210,Jordan Pickford,Everton,24,38,3420,0,0,0,0,-,44.5,0.5,0,6.63,England
966,211,Thibaut Courtois,Chelsea,26,35,3150,0,0,2,0,-,70.4,0.1,0,6.63,Belgium
968,348,Thibaut Courtois,Chelsea,26,8,720,0,1,0,0,-,62.7,-,0,6.46,Belgium
970,212,Jose Izquierdo,Brighton,25,23(9),1989,5,3,2,0,1.6,78.4,0.5,0,6.62,Colombia
