,Rank,player,club,age,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,nationality
35,73,Bryan Oviedo,Sunderland,28,31(3),2605,2,4,9,0,0.7,73.1,0.7,3,7.03,Costa Rica
37,76,Aron Gunnarsson,Cardiff,29,17(3),1500,1,1,3,0,0.8,65.4,1.3,1,7.02,Iceland
39,89,Jackson Irvine,Hull,25,27(7),2460,2,6,6,0,0.7,68.2,4.8,0,6.98,Australia
41,90,Henrik Dalsgaard,Brentford,28,29,2541,1,3,4,0,0.7,72.0,3.1,2,6.98,Denmark
43,100,Jonas Knudsen,Ipswich,25,42,3780,1,7,10,0,0.6,66.5,3.1,2,6.96,Denmark
45,158,James Meredith,Millwall,30,46,4009,0,0,3,0,0.1,63.0,2,0,6.84,Australia
47,187,Bartosz Bialkowski,Ipswich,30,45,4050,0,0,0,0,-,42.9,0.5,1,6.79,Poland
49,232,Sebastian Larsson,Hull,33,37(3),3246,2,4,13,0,0.9,79.3,0.5,0,6.7,Sweden
51,295,Birkir Bjarnason,Aston Villa,30,11(14),1100,3,2,1,0,1,82.8,1.1,0,6.61,Iceland
53,311,Jon Dadi Bodvarsson,Reading,26,20(13),1766,7,1,2,0,1.5,61.9,2.8,3,6.55,Iceland
55,2,Bruno Fernandes,Sporting CP,23,6,567,3,3,1,0,4,79.9,0.3,1,8.0,Portugal
56,7,Bruno Fernandes,Sporting CP,23,32(1),2806,11,8,6,0,2.8,75.0,0.7,6,7.55,Portugal
57,101,Bruno Fernandes,Sporting CP,23,6,537,1,1,2,0,3.3,79.4,0.3,1,7.07,Portugal
59,5,Antoine Griezmann,Atletico Madrid,27,7(1),631,6,2,0,0,3.6,78.8,0.5,3,7.91,France
60,13,Antoine Griezmann,Atletico Madrid,27,30(2),2530,19,9,7,1,2.3,77.6,0.8,8,7.38,France
62,140,Antoine Griezmann,Atletico Madrid,27,6,529,2,2,1,0,3,84.1,0.5,1,6.98,France
64,8,Nabil Fekir,Lyon,24,8,660,3,1,2,0,2.5,85.9,0.3,3,7.73,France
65,3,Nabil Fekir,Lyon,24,28(2),2481,18,8,8,0,3,85.3,0.7,12,7.86,France
66,12,Mesut Ozil,Arsenal,29,7,609,1,4,0,0,1,86.4,-,1,7.7,Germany
68,23,Mesut Ozil,Arsenal,29,24(2),2164,4,8,4,0,1.5,86.5,-,2,7.25,Germany
70,18,Remo Freuler,Atalanta,26,8,720,1,1,1,0,1,87.8,1.3,0,7.58,Switzerland
72,44,Remo Freuler,Atalanta,26,33(2),3006,5,3,4,1,1.3,88.1,0.8,3,7.08,Switzerland
74,25,Manuel Fernandes,Lokomotiv Moscow,32,10,900,6,0,1,0,2.7,84.7,1.4,2,7.52,Portugal
76,17,Manuel Fernandes,Lokomotiv Moscow,32,27(2),2476,7,4,4,0,2.3,81.9,0.6,3,7.16,Portugal
78,28,Saman Ghoddos,Oestersunds FK,24,8,720,2,3,0,0,2.9,79.8,0.6,2,7.5,Iran
80,30,Timo Werner,RasenBallsport Leipzig,22,5,445,4,2,0,0,3.8,79.0,-,1,7.48,Germany
82,94,Timo Werner,RasenBallsport Leipzig,22,28(4),2493,13,7,1,0,3,75.2,0.5,2,6.9,Germany
84,208,Timo Werner,RasenBallsport Leipzig,22,4(2),331,3,0,0,0,2,65.8,0.2,0,6.79,Germany
86,31,Granit Xhaka,Arsenal,25,5(1),495,1,0,1,0,1.2,91.2,1.5,0,7.47,Switzerland
88,62,Granit Xhaka,Arsenal,25,37(1),3266,1,7,10,0,1.7,86.9,1.3,0,7.02,Switzerland
90,34,Adnan Januzaj,Real Sociedad,23,3(3),368,1,1,0,0,3.3,82.4,0.5,1,7.46,Belgium
92,103,Adnan Januzaj,Real Sociedad,23,18(10),1580,3,5,4,0,2.1,80.5,0.2,4,6.86,Belgium
94,36,Lucas Biglia,AC Milan,32,5,450,0,0,0,0,0.6,89.9,1.6,0,7.43,Argentina
96,95,Lucas Biglia,AC Milan,32,24(4),2043,1,1,5,0,0.8,91.0,0.8,1,6.88,Argentina
98,38,Aleksandr Golovin,CSKA Moscow,22,5,450,2,0,2,0,2.8,83.1,0.8,0,7.43,Russia
100,9,Aleksandr Golovin,CSKA Moscow,22,26(1),2283,5,3,8,0,2.1,82.4,0.3,2,7.25,Russia
101,216,Aleksandr Golovin,CSKA Moscow,22,6,537,0,1,2,0,1.3,84.7,0.5,0,6.78,Russia
103,39,Danny Welbeck,Arsenal,27,9(1),762,3,0,0,0,2.1,84.8,1.6,1,7.42,England
105,250,Danny Welbeck,Arsenal,27,12(16),1185,5,2,1,0,1.1,79.8,0.9,2,6.52,England
107,40,Branislav Ivanovic,Zenit St. Petersburg,34,7,615,3,2,0,0,0.7,81.8,1.6,1,7.42,Serbia
109,33,Branislav Ivanovic,Zenit St. Petersburg,34,27,2358,2,1,1,0,0.9,82.2,2.2,2,7.06,Serbia
111,68,William Carvalho,Sporting CP,26,3(1),256,0,0,2,0,0.3,91.1,2.3,0,7.3,Portugal
113,21,William Carvalho,Sporting CP,26,24,2132,1,1,3,0,0.9,88.2,1.5,1,7.25,Portugal
115,311,William Carvalho,Sporting CP,26,5,450,0,0,1,0,0.4,87.8,1,0,6.56,Portugal
117,70,Diego Costa,Atletico Madrid,29,5,387,2,1,1,0,2.4,66.7,2.6,1,7.29,Spain
119,77,Hiroki Sakai,Marseille,28,8(2),765,1,1,1,0,0.4,79.4,2,0,7.26,Japan
121,104,Hiroki Sakai,Marseille,28,30(3),2523,0,3,1,0,0.1,82.2,1.8,1,6.89,Japan
123,79,Koke,Atletico Madrid,26,9,754,2,3,1,0,1.1,84.5,0.3,0,7.26,Spain
125,41,Koke,Atletico Madrid,26,33(2),2764,4,4,3,0,0.8,85.2,0.5,1,7.08,Spain
127,269,Koke,Atletico Madrid,26,4,333,0,0,0,0,1.5,84.7,0.3,0,6.66,Spain
129,82,Mario Gavranovic,Rijeka,28,4,311,3,0,2,0,1,61.7,1,1,7.24,Switzerland
131,93,Olivier Giroud,Arsenal,31,6,540,3,0,0,0,4.2,64.7,2.3,0,7.21,France
133,110,Marcelo,Lyon,31,10,900,1,0,2,0,0.2,85.0,3.9,0,7.19,Brazil
135,44,Marcelo,Real Madrid,30,26(2),2262,2,6,3,1,1.2,84.6,0.3,1,7.07,Brazil
137,25,Marcelo,Lyon,31,35,3107,3,1,5,1,0.6,87.6,4,1,7.18,Brazil
139,69,Marcelo,Rio Ave,28,30,2621,0,0,10,1,0.3,82.3,2,1,6.88,Brazil
141,46,Marcelo,Real Madrid,30,11,958,3,4,1,0,0.9,82.5,0.5,0,7.29,Brazil
143,111,Diego Godin,Atletico Madrid,32,8,720,0,0,0,0,0.6,85.1,2.5,0,7.19,Uruguay
145,43,Diego Godin,Atletico Madrid,32,28(2),2554,0,0,6,0,0.4,85.8,1.9,0,7.07,Uruguay
147,79,Diego Godin,Atletico Madrid,32,4,360,0,0,0,0,1,87.4,3,0,7.11,Uruguay
149,113,Alvaro Odriozola,Real Sociedad,22,6,540,1,0,0,0,0.2,91.7,0.2,0,7.18,Spain
151,244,Alvaro Odriozola,Real Sociedad,22,32(3),2918,0,4,2,1,0.2,88.5,0.1,0,6.53,Spain
153,120,Gelson Martins,Sporting CP,23,5,475,1,0,0,0,1.8,86.9,0.8,0,7.16,Portugal
155,13,Gelson Martins,Sporting CP,23,30(1),2688,8,8,3,1,1.5,83.3,0.3,4,7.4,Portugal
157,223,Gelson Martins,Sporting CP,23,5(1),463,1,1,2,0,1.2,84.0,-,0,6.77,Portugal
159,126,Sergej Milinkovic-Savic,Lazio,23,5(3),525,2,3,3,0,1.6,74.1,2.4,1,7.15,Serbia
161,12,Sergej Milinkovic-Savic,Lazio,23,33(2),2850,12,3,8,0,2.6,79.9,2.9,7,7.39,Serbia
163,138,Danilo,Braga,22,6,509,0,0,1,0,1,76.8,1.3,0,7.11,Brazil
165,91,Danilo,Manchester City,26,13(10),1342,3,2,2,0,0.8,89.9,0.7,2,6.91,Brazil
167,55,Danilo,Braga,22,15(16),1537,4,3,6,0,1.2,81.8,1.1,2,6.98,Brazil
169,227,Danilo,Manchester City,26,4(2),368,0,0,2,0,0.5,91.1,-,0,6.76,Brazil
171,165,Danilo,Udinese,34,32,2778,1,0,8,0,0.5,78.9,2.3,2,6.72,Brazil
173,151,Ricardo Rodriguez,AC Milan,25,6(1),545,2,2,0,0,0.7,89.3,2,1,7.08,Switzerland
175,173,Ricardo Rodriguez,AC Milan,25,34,3006,1,0,3,1,0.9,87.6,1,0,6.7,Switzerland
177,156,Lucas Hernandez,Atletico Madrid,22,7(1),614,0,1,1,0,0.4,81.8,1.9,0,7.06,France
179,17,Lucas Hernandez,Atletico Madrid,22,24(3),2117,0,1,6,1,0.3,82.9,1.6,1,7.24,France
181,163,Daler Kuzyaev,Zenit St. Petersburg,25,6(1),540,1,1,2,0,0.4,83.7,0.7,0,7.05,Russia
183,30,Daler Kuzyaev,Zenit St. Petersburg,25,22(4),1997,6,2,3,0,1,84.2,0.5,1,7.08,Russia
185,166,Andre Silva,AC Milan,22,8(2),721,6,0,1,0,2.1,78.7,0.8,2,7.05,Portugal
187,270,Andre Silva,AC Milan,22,7(17),922,2,0,0,0,1.5,77.0,1,0,6.35,Portugal
189,170,Sebastian Coates,Sporting CP,27,4,360,0,0,2,0,1.5,82.4,4.3,0,7.04,Uruguay
191,40,Sebastian Coates,Sporting CP,27,34,3060,2,1,4,0,0.9,83.5,2.5,1,7.1,Uruguay
193,92,Sebastian Coates,Sporting CP,27,5,450,0,1,3,0,0.4,80.3,2,0,7.09,Uruguay
195,172,Andrey Lunev,Zenit St. Petersburg,26,8,720,0,0,0,0,-,67.7,0.4,0,7.04,Russia
197,119,Andrey Lunev,Zenit St. Petersburg,26,20,1743,0,0,1,0,-,70.0,0.5,0,6.73,Russia
199,175,Domagoj Vida,Dynamo Kyiv,29,4,350,0,0,0,0,1.3,80.0,3,0,7.03,Croatia
201,180,Jefferson Farfan,Lokomotiv Moscow,33,8(1),583,4,1,0,0,2.1,83.0,1.2,0,7.02,Peru
203,7,Jefferson Farfan,Lokomotiv Moscow,33,22,1953,10,4,3,0,2.3,82.4,1.4,2,7.26,Peru
204,181,Jacek Goralski,Ludogorets Razgrad,25,6(1),485,0,0,1,0,0.3,86.6,0.1,1,7.01,Poland
206,183,Florian Thauvin,Marseille,25,9(3),761,3,2,2,0,1.7,74.7,0.6,0,7.01,France
208,2,Florian Thauvin,Marseille,25,35,2966,22,11,7,0,3.7,78.2,0.4,13,7.94,France
209,187,Bryan Ruiz,Sporting CP,32,6,488,0,1,1,0,1.7,84.4,0.3,0,7.01,Costa Rica
211,126,Bryan Ruiz,Sporting CP,32,11(9),1015,2,1,2,0,0.8,82.1,0.8,1,6.73,Costa Rica
213,195,Mohamed Elneny,Arsenal,25,9(3),838,1,2,0,0,0.8,93.5,0.3,1,7.01,Egypt
215,197,Adil Rami,Marseille,32,13(1),1262,1,0,3,0,0.4,83.0,3.1,0,7.0,France
217,75,Adil Rami,Marseille,32,33,2957,1,2,5,0,0.5,86.6,2.9,0,6.97,France
219,201,Milan Rodic,FK Crvena Zvezda,27,6,530,0,1,1,1,0.8,73.2,3.2,1,7.0,Serbia
221,216,Marcos Acuna,Sporting CP,26,4(2),404,0,0,0,0,2,72.2,0.7,1,6.97,Argentina
223,28,Marcos Acuna,Sporting CP,26,27(4),2296,4,5,7,0,1.5,76.5,0.6,3,7.19,Argentina
225,235,Marcos Acuna,Sporting CP,26,5,433,0,1,2,0,-,71.3,0.8,0,6.74,Argentina
227,218,Nacho Monreal,Arsenal,32,7,613,1,0,2,0,0.9,87.3,1.6,0,6.97,Spain
229,35,Nacho Monreal,Arsenal,32,26(2),2244,5,2,3,0,0.8,89.5,2.2,2,7.13,Spain
231,235,Cristian Zapata,AC Milan,31,4,360,0,0,0,0,0.5,89.1,2.5,0,6.94,Colombia
233,240,David Ospina,Arsenal,29,10,900,0,0,0,0,-,74.0,0.1,1,6.94,Colombia
235,249,Michy Batshuayi,Borussia Dortmund,24,4,331,2,0,1,0,2.8,73.8,1.3,0,6.93,Belgium
237,191,Michy Batshuayi,Chelsea,24,1(3),123,2,0,0,0,1.3,82.9,0.5,0,6.82,Belgium
239,257,Sergei Ignashevich,CSKA Moscow,38,5,450,0,0,0,0,0.4,79.1,2.8,0,6.92,Russia
241,25,Sergei Ignashevich,CSKA Moscow,38,23(2),2073,1,1,0,0,0.5,82.8,2.4,3,7.11,Russia
243,248,Sergei Ignashevich,CSKA Moscow,38,4,316,0,0,0,0,-,75.5,2,0,6.7,Russia
245,270,Robin Olsen,FC Copenhagen,28,6,540,0,0,0,0,-,62.9,-,0,6.9,Sweden
247,277,Emil Forsberg,RasenBallsport Leipzig,26,3(3),326,0,2,0,0,0.8,78.9,0.2,1,6.89,Sweden
249,110,Emil Forsberg,RasenBallsport Leipzig,26,15(6),1374,2,2,0,1,1.7,79.7,0.3,1,6.84,Sweden
251,80,Emil Forsberg,RasenBallsport Leipzig,26,5,412,2,0,0,0,2.4,79.9,0.6,0,7.11,Sweden
253,294,Igor Akinfeev,CSKA Moscow,32,6,540,0,0,1,0,-,58.2,0.2,0,6.86,Russia
255,102,Igor Akinfeev,CSKA Moscow,32,28,2520,0,0,1,0,-,54.9,0.1,0,6.78,Russia
257,139,Igor Akinfeev,CSKA Moscow,32,6,540,0,0,0,0,-,43.0,0.5,0,6.98,Russia
259,297,Duje Caleta-Car,Salzburg,21,13,1200,0,2,5,0,0.5,82.6,3.1,0,6.86,Croatia
261,307,Nemanja Radonjic,FK Crvena Zvezda,22,6,490,1,0,0,0,2.5,65.3,0.3,0,6.84,Serbia
263,317,Alex Iwobi,Arsenal,22,3(3),335,0,1,0,0,1.3,87.3,0.2,0,6.83,Nigeria
265,103,Alex Iwobi,Arsenal,22,22(4),1844,3,5,1,0,1.7,86.6,0.1,0,6.88,Nigeria
267,325,Anthony Lopes,Lyon,27,10,900,0,0,0,0,-,65.5,0.1,0,6.81,Portugal
269,93,Anthony Lopes,Lyon,27,34,3060,0,0,1,0,-,75.8,0.2,1,6.92,Portugal
271,362,Josip Pivaric,Dynamo Kyiv,29,8,720,0,0,1,0,0.6,74.9,1.8,0,6.75,Croatia
273,364,Paolo Hurtado,Vitoria de Guimaraes,27,5,386,2,1,2,0,0.8,80.7,0.6,0,6.75,Peru
275,83,Paolo Hurtado,Vitoria de Guimaraes,27,21(4),1762,11,5,5,0,1.8,78.6,0.8,2,6.84,Peru
277,366,Vladimir Stojkovic,Partizan Belgrade,34,8,720,0,0,0,0,-,44.4,0.9,0,6.75,Serbia
279,385,Gylfi Sigurdsson,Everton,28,3(1),303,0,2,1,0,1.5,80.0,1,0,6.72,Iceland
281,102,Gylfi Sigurdsson,Everton,28,25(2),2262,4,3,2,0,1.4,74.9,0.7,1,6.88,Iceland
283,393,Yuya Osako,FC Cologne,28,3(3),357,2,1,0,0,1.7,78.3,1.2,1,6.71,Japan
285,237,Yuya Osako,FC Cologne,28,23(2),1906,4,2,2,1,1.4,72.9,1.4,1,6.51,Japan
287,400,John Ogu,Hapoel Beer Sheva,30,4,256,0,0,0,0,1,84.2,0.5,0,6.71,Nigeria
289,405,Maciej Rybus,Lokomotiv Moscow,28,5(1),495,1,0,1,0,0.5,83.1,0.8,0,6.7,Poland
291,131,Maciej Rybus,Lokomotiv Moscow,28,16(4),1492,0,0,4,0,0.5,82.5,1,0,6.7,Poland
293,453,William Kvist,FC Copenhagen,33,6(1),500,0,0,1,0,0.7,84.8,1.6,0,6.65,Denmark
295,459,Rui Patricio,Sporting CP,30,6,570,0,0,0,0,-,72.1,-,0,6.65,Portugal
297,118,Rui Patricio,Sporting CP,30,34,3060,0,0,4,0,-,70.7,0.2,1,6.76,Portugal
299,289,Rui Patricio,Sporting CP,30,6,540,0,0,0,0,-,57.7,-,0,6.61,Portugal
301,460,Yuri Zhirkov,Zenit St. Petersburg,34,2(2),216,0,0,0,0,-,80.8,0.5,0,6.65,Russia
303,154,Yuri Zhirkov,Zenit St. Petersburg,34,10(7),964,1,0,2,0,0.7,74.0,0.9,0,6.62,Russia
305,484,Andreas Cornelius,Atalanta,25,0(4),25,2,0,0,0,1.3,66.7,0.8,0,6.62,Denmark
307,232,Andreas Cornelius,Atalanta,25,8(15),928,3,1,0,0,1.4,67.4,2.4,1,6.52,Denmark
309,493,Alan Dzagoev,CSKA Moscow,27,6,454,1,1,1,0,2.7,80.8,0.5,0,6.61,Russia
311,96,Alan Dzagoev,CSKA Moscow,27,20(1),1624,3,6,3,0,2,78.5,0.3,1,6.8,Russia
313,263,Alan Dzagoev,CSKA Moscow,27,4(1),368,1,0,1,0,2,71.7,0.6,0,6.67,Russia
315,501,Carlos Bacca,Villarreal,31,6,484,2,1,0,0,2.7,75.5,0.7,0,6.6,Colombia
317,70,Carlos Bacca,Villarreal,31,30(5),2512,15,6,9,0,2.1,73.8,0.7,3,6.95,Colombia
319,504,Yussuf Poulsen,RasenBallsport Leipzig,23,2(3),215,0,1,1,0,0.6,59.1,5.8,0,6.59,Denmark
321,187,Yussuf Poulsen,RasenBallsport Leipzig,23,18(12),1662,4,2,1,0,1.3,62.9,3.3,0,6.68,Denmark
323,315,Yussuf Poulsen,RasenBallsport Leipzig,23,2(2),200,0,1,1,0,0.5,68.8,4,0,6.55,Denmark
325,507,Bassem Srarfi,Nice,20,1(3),97,0,1,1,0,0.5,88.1,-,0,6.59,Tunisia
327,275,Bassem Srarfi,Nice,20,10(16),865,3,0,1,0,0.9,84.3,0.2,0,6.41,Tunisia
329,534,Paulinho,Braga,25,6(1),521,0,1,2,0,1.3,67.0,1.4,0,6.56,Brazil
331,99,Paulinho,Barcelona,29,21(13),1941,9,2,2,0,1.3,87.8,0.9,0,6.87,Brazil
333,36,Paulinho,Portimonense,23,18(1),1570,2,5,3,0,1.8,81.9,0.1,1,7.15,Brazil
335,42,Paulinho,Braga,25,22(8),2123,13,3,2,0,2.3,68.1,1.5,4,7.09,Brazil
337,162,Paulinho,Chaves,26,33,2960,0,3,7,0,0.6,81.1,0.6,0,6.63,Brazil
339,332,Paulinho,Barcelona,29,4(5),402,0,0,1,0,1.3,92.2,0.7,0,6.5,Brazil
341,538,Filip Bradaric,Rijeka,26,5,450,0,1,2,0,0.8,83.5,0.2,0,6.56,Croatia
343,561,Anton Miranchuk,Lokomotiv Moscow,22,8(2),690,1,1,1,0,1.1,80.5,0.4,0,6.53,Russia
345,108,Anton Miranchuk,Lokomotiv Moscow,22,22(7),1980,4,5,2,0,1.4,79.0,0.7,2,6.76,Russia
347,585,Steven Zuber,Hoffenheim,26,3(1),233,0,0,0,0,1,82.3,0.3,0,6.49,Switzerland
349,173,Steven Zuber,Hoffenheim,26,17(3),1441,1,2,2,0,0.8,83.4,0.3,0,6.7,Switzerland
351,586,Denis Cheryshev,Villarreal,27,1(4),192,1,1,1,0,0.6,79.7,-,0,6.49,Russia
353,238,Denis Cheryshev,Villarreal,27,9(15),922,2,1,2,0,1.2,71.7,0.5,0,6.55,Russia
355,645,Ahmed Musa,CSKA Moscow,25,6,513,1,0,2,0,2.5,66.7,-,0,6.38,Nigeria
357,653,Andrej Kramaric,Hoffenheim,26,4,360,0,0,2,0,3.3,78.2,0.3,0,6.37,Croatia
359,45,Andrej Kramaric,Hoffenheim,26,22(12),2222,13,6,1,0,2.4,80.0,0.2,2,7.02,Croatia
361,655,Nikola Kalinic,AC Milan,30,1(5),184,0,1,0,0,0.7,85.1,0.2,0,6.36,Croatia
363,197,Nikola Kalinic,AC Milan,30,20(11),1813,6,3,3,0,1.6,80.1,1.5,1,6.63,Croatia
365,675,Predrag Rajkovic,Maccabi Tel Aviv,22,6,540,0,0,0,0,-,64.0,0.3,1,6.33,Serbia
367,684,Igor Smolnikov,Zenit St. Petersburg,29,4(1),330,0,0,2,0,0.2,76.6,0.8,0,6.31,Russia
369,34,Igor Smolnikov,Zenit St. Petersburg,29,20(2),1853,0,0,4,1,0.7,82.5,1.1,1,7.06,Russia
371,708,Steve Mandanda,Marseille,33,7,630,0,0,0,0,-,60.3,-,0,6.26,France
373,205,Steve Mandanda,Marseille,33,31,2682,0,0,0,1,-,66.4,0.3,3,6.66,France
375,742,Marco Reus,Borussia Dortmund,29,3(1),229,0,0,0,0,0.8,79.1,0.3,0,6.13,Germany
377,743,Sime Vrsaljko,Atletico Madrid,26,2(2),146,0,0,1,1,-,63.8,1,0,6.13,Croatia
379,39,Sime Vrsaljko,Atletico Madrid,26,19(2),1697,0,4,7,0,0.2,74.8,2.1,0,7.09,Croatia
381,1,Lionel Messi,Barcelona,30,32(4),2997,34,12,3,0,5.5,81.2,0.2,22,8.68,Argentina
382,6,Lionel Messi,Barcelona,30,8(2),783,6,2,2,0,4.4,81.5,0.2,6,8.03,Argentina
383,2,Cristiano Ronaldo,Real Madrid,33,27,2293,26,5,1,0,6.6,81.6,1.3,7,7.94,Portugal
384,4,Cristiano Ronaldo,Real Madrid,33,13,1170,15,3,2,0,6.3,81.4,1.7,4,8.12,Portugal
385,3,Luis Suarez,Barcelona,31,32(1),2902,25,12,9,0,3.7,76.9,0.4,5,7.72,Uruguay
386,203,Luis Suarez,Barcelona,31,10,884,1,3,2,0,3.2,72.6,0.5,0,6.8,Uruguay
388,5,Casemiro,Real Madrid,26,30,2601,5,3,8,0,1.1,88.4,2.1,1,7.49,Brazil
389,34,Casemiro,Real Madrid,26,11(1),945,1,0,2,0,0.6,91.3,0.8,2,7.36,Brazil
391,7,Iago Aspas,Celta Vigo,30,33(1),2938,22,5,9,0,2.8,78.8,0.5,11,7.49,Spain
392,8,Toni Kroos,Real Madrid,28,26(1),2268,5,7,4,0,1.5,93.1,0.4,0,7.47,Germany
393,123,Toni Kroos,Real Madrid,28,10(2),953,0,1,0,0,0.7,93.9,0.2,0,7.01,Germany
395,9,Filipe Luis,Atletico Madrid,32,19(1),1660,1,2,4,0,0.3,83.4,0.9,2,7.45,Brazil
396,37,Filipe Luis,Atletico Madrid,32,6,540,0,0,1,0,1,85.7,1,0,7.34,Brazil
398,15,Luka Modric,Real Madrid,32,23(3),1976,1,6,3,0,1.3,89.9,0.3,0,7.29,Croatia
400,121,Luka Modric,Real Madrid,32,11,958,1,1,2,0,0.8,89.9,0.2,0,7.02,Croatia
402,16,Sergio Busquets,Barcelona,29,30(1),2600,1,4,8,0,0.2,90.5,1.6,0,7.25,Spain
404,122,Sergio Busquets,Barcelona,29,9(1),768,0,0,1,0,0.2,93.0,1.2,0,7.01,Spain
406,18,Jordi Alba,Barcelona,29,30(3),2745,2,8,8,0,0.5,86.8,0.5,2,7.22,Spain
408,217,Jordi Alba,Barcelona,29,7(1),638,0,0,0,0,0.1,87.9,0.3,0,6.78,Spain
410,25,Gerard Pique,Barcelona,31,29(1),2633,2,0,9,0,0.6,89.4,2.2,0,7.16,Spain
412,166,Gerard Pique,Barcelona,31,9,736,1,0,2,1,0.3,90.2,2,0,6.9,Spain
414,26,Isco,Real Madrid,26,21(9),1781,7,7,1,0,1.6,88.8,0.2,3,7.16,Spain
416,148,Isco,Real Madrid,26,10(1),736,0,2,1,0,2,91.5,0.3,0,6.96,Spain
418,27,Goncalo Guedes,Valencia,21,27(6),2444,5,9,2,0,1.8,79.3,0.3,3,7.16,Portugal
420,34,Ivan Rakitic,Barcelona,30,31(4),2839,1,5,4,0,0.8,90.3,0.7,0,7.12,Croatia
422,151,Ivan Rakitic,Barcelona,30,8(2),758,1,0,1,0,0.5,91.0,0.5,1,6.95,Croatia
424,40,Sergio Ramos,Real Madrid,32,26,2292,4,1,7,2,1.1,90.3,3.3,1,7.09,Spain
426,86,Sergio Ramos,Real Madrid,32,11,990,1,0,3,0,1.5,92.3,2.5,0,7.1,Spain
428,42,Ever Banega,Sevilla,29,25(6),2397,3,3,9,1,1.2,86.8,0.4,0,7.08,Argentina
430,15,Ever Banega,Sevilla,29,9,792,1,2,4,0,1.2,87.6,0.3,2,7.72,Argentina
432,49,Samuel Umtiti,Barcelona,24,24(1),2189,1,0,7,0,0.4,91.2,1.9,0,7.03,France
434,129,Samuel Umtiti,Barcelona,24,9,810,0,0,0,0,0.1,91.0,1.6,0,7.01,France
436,50,Cristhian Stuani,Girona,31,32(1),2723,21,0,8,0,2.2,66.7,3.6,3,7.03,Uruguay
438,62,Jefferson Lerma,Levante,23,25(1),2138,0,1,16,0,1,81.7,3.4,0,6.99,Colombia
440,69,Pione Sisto,Celta Vigo,23,31(3),2535,5,9,2,0,1.5,84.2,-,0,6.96,Denmark
442,75,Keylor Navas,Real Madrid,31,27,2430,0,0,1,0,-,76.0,0.1,1,6.94,Costa Rica
444,178,Keylor Navas,Real Madrid,31,11,990,0,0,0,0,-,65.2,0.4,1,6.86,Costa Rica
446,83,Andres Guardado,Real Betis,31,25(4),2267,2,8,7,0,1.1,86.5,0.6,2,6.91,Mexico
448,84,Lucas Vazquez,Real Madrid,26,16(17),1670,4,7,3,0,1,86.7,0.2,0,6.91,Spain
450,97,Lucas Vazquez,Real Madrid,26,5(5),545,1,2,1,0,0.6,86.9,0.1,1,7.08,Spain
452,87,Andres Iniesta,Barcelona,34,25(5),1843,1,2,1,0,0.5,88.2,0.1,0,6.91,Spain
454,73,Andres Iniesta,Barcelona,34,8,624,0,2,0,0,1,90.2,-,0,7.15,Spain
456,89,Marc-Andre ter Stegen,Barcelona,26,37,3330,0,0,0,0,-,79.5,0.1,0,6.9,Germany
458,225,Marc-Andre ter Stegen,Barcelona,26,9,810,0,0,0,0,-,74.5,0.2,0,6.76,Germany
460,90,Nacho,Real Madrid,28,22(5),2073,3,0,7,0,0.3,90.8,1.4,0,6.9,Spain
462,72,Nacho,Real Madrid,28,6(2),595,1,0,1,0,0.6,91.1,1.3,0,7.17,Spain
464,95,Steven N'Zonzi,Sevilla,29,26(1),2216,1,2,2,0,0.8,88.0,3.8,1,6.89,France
466,133,Steven N'Zonzi,Sevilla,29,8,676,0,0,2,0,0.9,92.4,3.1,0,7.0,France
468,96,Celso Borges,Deportivo La Coruna,30,26(6),2307,3,3,3,1,1,78.1,3.7,1,6.89,Costa Rica
470,109,Raphael Varane,Real Madrid,25,27,2324,0,1,3,0,0.4,90.8,1.9,1,6.85,France
472,99,Raphael Varane,Real Madrid,25,11,938,0,0,1,0,0.6,90.0,2.5,0,7.07,France
474,111,Faycal Fajr,Getafe,29,26(5),2384,1,4,7,0,0.7,75.0,0.8,1,6.84,Morocco
476,123,Simon Kjaer,Sevilla,29,18(2),1572,2,0,3,0,0.5,84.4,2.2,0,6.82,Denmark
478,182,Simon Kjaer,Sevilla,29,6,540,1,0,0,0,0.7,83.8,1.5,0,6.86,Denmark
480,129,Gabriel Mercado,Sevilla,31,25(1),2124,0,1,9,0,0.7,83.1,1.6,1,6.8,Argentina
482,333,Gabriel Mercado,Sevilla,31,8,692,0,0,3,0,0.3,79.0,1,0,6.49,Argentina
484,135,Kepa Arrizabalaga,Athletic Bilbao,23,30,2700,0,0,4,0,-,62.9,0.3,2,6.79,Spain
486,155,Johan Mojica,Girona,25,22(8),2132,0,4,6,0,0.7,77.8,0.9,1,6.74,Colombia
488,159,Mateo Kovacic,Real Madrid,24,10(11),989,0,1,2,0,0.4,93.7,-,2,6.73,Croatia
490,345,Mateo Kovacic,Real Madrid,24,4(3),258,0,1,2,0,0.1,90.7,0.1,0,6.47,Croatia
492,198,Takashi Inui,Eibar,30,31(3),2640,5,2,4,0,1.9,80.4,0.4,2,6.64,Japan
494,239,Marko Dmitrovic,Eibar,26,36,3240,0,0,1,0,-,45.8,0.4,0,6.54,Serbia
496,277,Gaku Shibasaki,Getafe,26,12(10),1004,1,0,2,0,0.5,74.7,0.3,0,6.4,Japan
